pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,MeasuredpH
Acidic,Gentamicin,0,24,0.5072,Fall2016,FLR19,
Acidic,Gentamicin,0,24,0.4752,Fall2016,FLR19,
Acidic,Gentamicin,0,24,0.4958,Fall2016,FLR19,
Acidic,Gentamicin,0,24,0.4928,Fall2016,FLR19,
Neutral,Gentamicin,0,24,0.7738,Fall2016,FLR19,
Neutral,Gentamicin,0,24,0.7428,Fall2016,FLR19,
Neutral,Gentamicin,0,24,0.7664,Fall2016,FLR19,
Neutral,Gentamicin,0,24,0.7995,Fall2016,FLR19,
Basic,Gentamicin,0,24,0.6889,Fall2016,FLR19,
Basic,Gentamicin,0,24,0.654,Fall2016,FLR19,
Basic,Gentamicin,0,24,0.7312,Fall2016,FLR19,
Basic,Gentamicin,0,24,0.6619,Fall2016,FLR19,
Acidic,Gentamicin,800,24,0.2706,Fall2016,FLR19,
Acidic,Gentamicin,800,24,0.2714,Fall2016,FLR19,
Acidic,Gentamicin,800,24,0.358,Fall2016,FLR19,
Acidic,Gentamicin,800,24,0.3474,Fall2016,FLR19,
Acidic,Gentamicin,400,24,0.4369,Fall2016,FLR19,
Acidic,Gentamicin,400,24,0.428,Fall2016,FLR19,
Acidic,Gentamicin,400,24,0.4553,Fall2016,FLR19,
Acidic,Gentamicin,400,24,0.4886,Fall2016,FLR19,
Acidic,Gentamicin,200,24,0.4493,Fall2016,FLR19,
Acidic,Gentamicin,200,24,0.5263,Fall2016,FLR19,
Acidic,Gentamicin,200,24,0.4137,Fall2016,FLR19,
Acidic,Gentamicin,200,24,0.4611,Fall2016,FLR19,
Neutral,Gentamicin,800,24,0.1266,Fall2016,FLR19,
Neutral,Gentamicin,800,24,0.167,Fall2016,FLR19,
Neutral,Gentamicin,800,24,0.1672,Fall2016,FLR19,
Neutral,Gentamicin,800,24,0.1771,Fall2016,FLR19,
Neutral,Gentamicin,400,24,0.2334,Fall2016,FLR19,
Neutral,Gentamicin,400,24,0.2396,Fall2016,FLR19,
Neutral,Gentamicin,400,24,0.2275,Fall2016,FLR19,
Neutral,Gentamicin,400,24,0.2022,Fall2016,FLR19,
Neutral,Gentamicin,200,24,0.2812,Fall2016,FLR19,
Neutral,Gentamicin,200,24,0.1858,Fall2016,FLR19,
Neutral,Gentamicin,200,24,0.2977,Fall2016,FLR19,
Neutral,Gentamicin,200,24,0.2846,Fall2016,FLR19,
Basic,Gentamicin,800,24,0.1477,Fall2016,FLR19,
Basic,Gentamicin,800,24,0.1441,Fall2016,FLR19,
Basic,Gentamicin,800,24,0.1509,Fall2016,FLR19,
Basic,Gentamicin,800,24,0.1503,Fall2016,FLR19,
Basic,Gentamicin,400,24,0.1506,Fall2016,FLR19,
Basic,Gentamicin,400,24,0.15,Fall2016,FLR19,
Basic,Gentamicin,400,24,0.1446,Fall2016,FLR19,
Basic,Gentamicin,400,24,0.1113,Fall2016,FLR19,
Basic,Gentamicin,200,24,0.1209,Fall2016,FLR19,
Basic,Gentamicin,200,24,0.1182,Fall2016,FLR19,
Basic,Gentamicin,200,24,0.1153,Fall2016,FLR19,
Basic,Gentamicin,200,24,0.1499,Fall2016,FLR19,
Basic,Meropenem,256,24,0.4287,Fall2016,FLR19,
Basic,Meropenem,256,24,0.4199,Fall2016,FLR19,
Basic,Meropenem,256,24,0.407,Fall2016,FLR19,
Basic,Meropenem,256,24,0.4426,Fall2016,FLR19,
Basic,Meropenem,128,24,0.4403,Fall2016,FLR19,
Basic,Meropenem,128,24,0.423,Fall2016,FLR19,
Basic,Meropenem,128,24,0.5737,Fall2016,FLR19,
Basic,Meropenem,128,24,0.5265,Fall2016,FLR19,
Basic,Meropenem,64,24,0.6058,Fall2016,FLR19,
Basic,Meropenem,64,24,0.5772,Fall2016,FLR19,
Basic,Meropenem,64,24,0.5928,Fall2016,FLR19,
Basic,Meropenem,64,24,0.5287,Fall2016,FLR19,
Acidic,Tobramycin,64,24,0.6034,Fall2016,FLR19,
Acidic,Tobramycin,64,24,0.5881,Fall2016,FLR19,
Acidic,Tobramycin,64,24,0.5773,Fall2016,FLR19,
Acidic,Tobramycin,64,24,0.5825,Fall2016,FLR19,
Acidic,Tobramycin,32,24,0.6236,Fall2016,FLR19,
Acidic,Tobramycin,32,24,0.6376,Fall2016,FLR19,
Acidic,Tobramycin,32,24,0.6595,Fall2016,FLR19,
Acidic,Tobramycin,32,24,0.4912,Fall2016,FLR19,
Acidic,Tobramycin,16,24,0.6695,Fall2016,FLR19,
Acidic,Tobramycin,16,24,0.6633,Fall2016,FLR19,
Acidic,Tobramycin,16,24,0.5856,Fall2016,FLR19,
Acidic,Tobramycin,16,24,0.6475,Fall2016,FLR19,
Neutral,Tobramycin,64,24,0.8048,Fall2016,FLR19,
Neutral,Tobramycin,64,24,0.827,Fall2016,FLR19,
Neutral,Tobramycin,64,24,0.9256,Fall2016,FLR19,
Neutral,Tobramycin,64,24,0.8161,Fall2016,FLR19,
Neutral,Tobramycin,32,24,0.7856,Fall2016,FLR19,
Neutral,Tobramycin,32,24,0.7947,Fall2016,FLR19,
Neutral,Tobramycin,32,24,0.7539,Fall2016,FLR19,
Neutral,Tobramycin,32,24,0.7411,Fall2016,FLR19,
Neutral,Tobramycin,16,24,0.752,Fall2016,FLR19,
Neutral,Tobramycin,16,24,0.8314,Fall2016,FLR19,
Neutral,Tobramycin,16,24,0.8073,Fall2016,FLR19,
Neutral,Tobramycin,16,24,0.8794,Fall2016,FLR19,
Basic,Tobramycin,64,24,0.6976,Fall2016,FLR19,
Basic,Tobramycin,64,24,0.797,Fall2016,FLR19,
Basic,Tobramycin,64,24,0.7365,Fall2016,FLR19,
Basic,Tobramycin,64,24,0.6583,Fall2016,FLR19,
Basic,Tobramycin,32,24,0.7804,Fall2016,FLR19,
Basic,Tobramycin,32,24,0.6605,Fall2016,FLR19,
Basic,Tobramycin,32,24,0.7111,Fall2016,FLR19,
Basic,Tobramycin,32,24,0.7433,Fall2016,FLR19,
Basic,Tobramycin,16,24,0.6894,Fall2016,FLR19,
Basic,Tobramycin,16,24,0.7994,Fall2016,FLR19,
Basic,Tobramycin,16,24,0.6977,Fall2016,FLR19,
Basic,Tobramycin,16,24,0.6822,Fall2016,FLR19,
Acidic,Meropenem,256,24,0.1907,Fall2016,FLR19,
Acidic,Meropenem,256,24,0.1747,Fall2016,FLR19,
Acidic,Meropenem,256,24,0.1883,Fall2016,FLR19,
Acidic,Meropenem,256,24,0.1807,Fall2016,FLR19,
Acidic,Meropenem,128,24,0.1958,Fall2016,FLR19,
Acidic,Meropenem,128,24,0.195,Fall2016,FLR19,
Acidic,Meropenem,128,24,0.1914,Fall2016,FLR19,
Acidic,Meropenem,128,24,0.2083,Fall2016,FLR19,
Acidic,Meropenem,64,24,0.2487,Fall2016,FLR19,
Acidic,Meropenem,64,24,0.2392,Fall2016,FLR19,
Acidic,Meropenem,64,24,0.431,Fall2016,FLR19,
Acidic,Meropenem,64,24,0.4383,Fall2016,FLR19,
Neutral,Meropenem,256,24,0.344,Fall2016,FLR19,
Neutral,Meropenem,256,24,0.3437,Fall2016,FLR19,
Neutral,Meropenem,256,24,0.3966,Fall2016,FLR19,
Neutral,Meropenem,256,24,0.3759,Fall2016,FLR19,
Neutral,Meropenem,128,24,0.3641,Fall2016,FLR19,
Neutral,Meropenem,128,24,0.3594,Fall2016,FLR19,
Neutral,Meropenem,128,24,0.3581,Fall2016,FLR19,
Neutral,Meropenem,128,24,0.3793,Fall2016,FLR19,
Neutral,Meropenem,64,24,0.4784,Fall2016,FLR19,
Neutral,Meropenem,64,24,0.4454,Fall2016,FLR19,
Neutral,Meropenem,64,24,0.4483,Fall2016,FLR19,
Neutral,Meropenem,64,24,0.5062,Fall2016,FLR19,
Acidic,Meropenem,0,24,0.5072,Fall2016,FLR19,
Acidic,Meropenem,0,24,0.4752,Fall2016,FLR19,
Acidic,Meropenem,0,24,0.4958,Fall2016,FLR19,
Acidic,Meropenem,0,24,0.4928,Fall2016,FLR19,
Neutral,Meropenem,0,24,0.7738,Fall2016,FLR19,
Neutral,Meropenem,0,24,0.7428,Fall2016,FLR19,
Neutral,Meropenem,0,24,0.7664,Fall2016,FLR19,
Neutral,Meropenem,0,24,0.7995,Fall2016,FLR19,
Basic,Meropenem,0,24,0.6889,Fall2016,FLR19,
Basic,Meropenem,0,24,0.654,Fall2016,FLR19,
Basic,Meropenem,0,24,0.7312,Fall2016,FLR19,
Basic,Meropenem,0,24,0.6619,Fall2016,FLR19,
Acidic,Tobramycin,0,24,0.5072,Fall2016,FLR19,
Acidic,Tobramycin,0,24,0.4752,Fall2016,FLR19,
Acidic,Tobramycin,0,24,0.4958,Fall2016,FLR19,
Acidic,Tobramycin,0,24,0.4928,Fall2016,FLR19,
Neutral,Tobramycin,0,24,0.7738,Fall2016,FLR19,
Neutral,Tobramycin,0,24,0.7428,Fall2016,FLR19,
Neutral,Tobramycin,0,24,0.7664,Fall2016,FLR19,
Neutral,Tobramycin,0,24,0.7995,Fall2016,FLR19,
Basic,Tobramycin,0,24,0.6889,Fall2016,FLR19,
Basic,Tobramycin,0,24,0.654,Fall2016,FLR19,
Basic,Tobramycin,0,24,0.7312,Fall2016,FLR19,
Basic,Tobramycin,0,24,0.6619,Fall2016,FLR19,
Acidic,Gentamicin,0,24,0.5688,Rep1,FLR19,
Acidic,Gentamicin,0,24,0.5635,Rep1,FLR19,
Acidic,Gentamicin,0,24,0.5672,Rep1,FLR19,
Acidic,Gentamicin,200,24,0.3462,Rep1,FLR19,
Acidic,Gentamicin,200,24,0.3447,Rep1,FLR19,
Acidic,Gentamicin,200,24,0.3458,Rep1,FLR19,
Acidic,Gentamicin,400,24,0.2696,Rep1,FLR19,
Acidic,Gentamicin,400,24,0.2834,Rep1,FLR19,
Acidic,Gentamicin,400,24,0.2779,Rep1,FLR19,
Acidic,Gentamicin,800,24,0.1918,Rep1,FLR19,
Acidic,Gentamicin,800,24,0.2045,Rep1,FLR19,
Acidic,Gentamicin,800,24,0.1885,Rep1,FLR19,
Acidic,Gentamicin,0,48,1.2936,Rep1,FLR19,
Acidic,Gentamicin,0,48,1.287,Rep1,FLR19,
Acidic,Gentamicin,0,48,1.3246,Rep1,FLR19,
Acidic,Gentamicin,200,48,1.0626,Rep1,FLR19,
Acidic,Gentamicin,200,48,1.0688,Rep1,FLR19,
Acidic,Gentamicin,200,48,1.0581,Rep1,FLR19,
Acidic,Gentamicin,400,48,0.8366,Rep1,FLR19,
Acidic,Gentamicin,400,48,0.8524,Rep1,FLR19,
Acidic,Gentamicin,400,48,0.8584,Rep1,FLR19,
Acidic,Gentamicin,800,48,0.3755,Rep1,FLR19,
Acidic,Gentamicin,800,48,0.3842,Rep1,FLR19,
Acidic,Gentamicin,800,48,0.3595,Rep1,FLR19,
Acidic,Gentamicin,0,24,0.4629,Rep2,FLR19,
Acidic,Gentamicin,0,24,0.4242,Rep2,FLR19,
Acidic,Gentamicin,0,24,0.4253,Rep2,FLR19,
Acidic,Gentamicin,200,24,0.3317,Rep2,FLR19,
Acidic,Gentamicin,200,24,0.3574,Rep2,FLR19,
Acidic,Gentamicin,200,24,0.3086,Rep2,FLR19,
Acidic,Gentamicin,400,24,0.3072,Rep2,FLR19,
Acidic,Gentamicin,400,24,0.3166,Rep2,FLR19,
Acidic,Gentamicin,400,24,0.2784,Rep2,FLR19,
Acidic,Gentamicin,800,24,0.2779,Rep2,FLR19,
Acidic,Gentamicin,800,24,0.2718,Rep2,FLR19,
