pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,Measured pH
Acidic,Tobramycin,0,48,1.457,Rep2,ZC2006,
Acidic,Tobramycin,0,48,1.451,Rep2,ZC2006,
Acidic,Tobramycin,0,48,1.436,Rep2,ZC2006,
Acidic,Tobramycin,16,48,1.404,Rep2,ZC2006,
Acidic,Tobramycin,16,48,1.408,Rep2,ZC2006,
Acidic,Tobramycin,16,48,1.417,Rep2,ZC2006,
Acidic,Tobramycin,32,48,1.409,Rep2,ZC2006,
Acidic,Tobramycin,32,48,1.422,Rep2,ZC2006,
Acidic,Tobramycin,32,48,1.402,Rep2,ZC2006,
Acidic,Tobramycin,64,48,1.428,Rep2,ZC2006,
Acidic,Tobramycin,64,48,1.414,Rep2,ZC2006,
Acidic,Tobramycin,64,48,1.406,Rep2,ZC2006,
Neutral,Tobramycin,0,48,1.564,Rep2,ZC2006,
Neutral,Tobramycin,0,48,1.575,Rep2,ZC2006,
Neutral,Tobramycin,0,48,1.562,Rep2,ZC2006,
Neutral,Tobramycin,16,48,1.523,Rep2,ZC2006,
Neutral,Tobramycin,16,48,1.632,Rep2,ZC2006,
Neutral,Tobramycin,16,48,1.571,Rep2,ZC2006,
Neutral,Tobramycin,32,48,1.535,Rep2,ZC2006,
Neutral,Tobramycin,32,48,1.567,Rep2,ZC2006,
Neutral,Tobramycin,32,48,1.558,Rep2,ZC2006,
Neutral,Tobramycin,64,48,1.576,Rep2,ZC2006,
Neutral,Tobramycin,64,48,1.601,Rep2,ZC2006,
Neutral,Tobramycin,64,48,1.577,Rep2,ZC2006,
Basic,Tobramycin,0,48,1.529,Rep2,ZC2006,
Basic,Tobramycin,0,48,1.536,Rep2,ZC2006,
Basic,Tobramycin,0,48,1.536,Rep2,ZC2006,
Basic,Tobramycin,16,48,1.51,Rep2,ZC2006,
Basic,Tobramycin,16,48,1.593,Rep2,ZC2006,
Basic,Tobramycin,16,48,1.541,Rep2,ZC2006,
Basic,Tobramycin,32,48,1.502,Rep2,ZC2006,
Basic,Tobramycin,32,48,1.517,Rep2,ZC2006,
Basic,Tobramycin,32,48,1.512,Rep2,ZC2006,
Basic,Tobramycin,64,48,1.563,Rep2,ZC2006,
Basic,Tobramycin,64,48,1.517,Rep2,ZC2006,
Basic,Tobramycin,64,48,1.563,Rep2,ZC2006,
Acidic,Tobramycin,0,48,1.551,Rep1,ZC2006,
Acidic,Tobramycin,0,48,1.546,Rep1,ZC2006,
Acidic,Tobramycin,0,48,1.582,Rep1,ZC2006,
Acidic,Tobramycin,16,48,1.583,Rep1,ZC2006,
Acidic,Tobramycin,16,48,1.566,Rep1,ZC2006,
Acidic,Tobramycin,16,48,1.551,Rep1,ZC2006,
Acidic,Tobramycin,32,48,1.568,Rep1,ZC2006,
Acidic,Tobramycin,32,48,1.533,Rep1,ZC2006,
Acidic,Tobramycin,32,48,1.522,Rep1,ZC2006,
Acidic,Tobramycin,64,48,1.457,Rep1,ZC2006,
Acidic,Tobramycin,64,48,1.482,Rep1,ZC2006,
Acidic,Tobramycin,64,48,1.466,Rep1,ZC2006,
Neutral,Tobramycin,0,48,1.554,Rep1,ZC2006,
Neutral,Tobramycin,0,48,1.571,Rep1,ZC2006,
Neutral,Tobramycin,0,48,1.573,Rep1,ZC2006,
Neutral,Tobramycin,16,48,1.574,Rep1,ZC2006,
Neutral,Tobramycin,16,48,1.564,Rep1,ZC2006,
