gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.4308	3.389768653	6.825868292	556.4984685	4.86E-123	2.10E-119
fig|6666666.230262.peg.4208	2.268521898	8.638810701	535.944788	1.44E-118	3.11E-115
fig|6666666.230262.peg.2557	1.957918626	11.31097897	465.0068639	3.91E-103	5.65E-100
fig|6666666.230262.peg.299	1.803993979	8.523583006	291.5659441	2.27E-65	2.45E-62
fig|6666666.230262.peg.3316	1.508898822	10.2771314	269.8610112	1.22E-60	1.05E-57
fig|6666666.230262.peg.2556	1.480667576	8.884030418	265.7401883	9.62E-60	6.95E-57
fig|6666666.230262.peg.298	2.619304413	6.490789357	232.6896459	1.54E-52	9.56E-50
fig|6666666.230262.peg.166	-3.671240118	7.125186028	215.3808641	9.20E-49	4.98E-46
fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43
fig|6666666.230262.peg.1232	1.657361611	7.418396308	177.6738106	1.56E-40	6.76E-38
fig|6666666.230262.peg.3429	1.733445198	6.872084746	167.863342	2.17E-38	8.53E-36
fig|6666666.230262.peg.593	1.830119368	6.976692692	167.3379284	2.82E-38	1.02E-35
fig|6666666.230262.peg.4004	1.453991344	9.659031473	162.9950763	2.51E-37	8.36E-35
fig|6666666.230262.peg.2852	1.349672732	8.815339642	162.8241709	2.73E-37	8.46E-35
fig|6666666.230262.peg.3123	-1.679876554	8.139234991	161.1293768	6.41E-37	1.85E-34
fig|6666666.230262.peg.3167	-2.174584632	6.69819198	159.673086	1.33E-36	3.61E-34
fig|6666666.230262.peg.555	1.52044453	6.946153003	154.1123617	2.19E-35	5.58E-33
fig|6666666.230262.peg.1415	1.421304548	6.990886929	151.0258259	1.03E-34	2.49E-32
fig|6666666.230262.peg.609	1.348573279	9.04187951	148.7002305	3.33E-34	7.60E-32
fig|6666666.230262.peg.1613	2.68778182	5.559963131	146.9096044	8.21E-34	1.78E-31
fig|6666666.230262.peg.1783	1.461733132	7.476402369	142.3392034	8.20E-33	1.69E-30
fig|6666666.230262.peg.3914	1.733337889	6.323516541	140.1252608	2.50E-32	4.92E-30
fig|6666666.230262.peg.925	-1.730881064	7.834529366	138.4485649	5.81E-32	1.10E-29
fig|6666666.230262.peg.4003	1.058234423	9.790839601	136.1951732	1.81E-31	3.26E-29
fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29
fig|6666666.230262.peg.2021	1.70578149	7.697815899	134.2516369	4.81E-31	8.02E-29
fig|6666666.230262.peg.4207	1.278505563	8.035288072	133.9826687	5.51E-31	8.84E-29
fig|6666666.230262.peg.295	1.529420233	7.288530559	133.8219092	5.98E-31	9.25E-29
fig|6666666.230262.peg.3284	1.31705873	7.442157957	126.5439239	2.34E-29	3.49E-27
fig|6666666.230262.peg.926	-1.245966354	9.234158402	124.4818977	6.61E-29	9.54E-27
fig|6666666.230262.peg.800	-1.176399065	8.700818205	118.6414521	1.25E-27	1.75E-25
fig|6666666.230262.peg.594	1.477931769	6.583738573	115.7837981	5.30E-27	7.18E-25
fig|6666666.230262.peg.2913	1.27489509	7.428094213	115.5138578	6.07E-27	7.97E-25
fig|6666666.230262.peg.1275	1.487809355	7.337227574	111.4340203	4.75E-26	6.06E-24
fig|6666666.230262.peg.2729	1.107010168	7.794672953	110.7934903	6.57E-26	8.13E-24
fig|6666666.230262.peg.1093	1.304552292	7.494795538	109.9741798	9.93E-26	1.19E-23
fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23
fig|6666666.230262.peg.690	1.978127643	5.37422858	107.728184	3.08E-25	3.51E-23
fig|6666666.230262.peg.1229	0.903600685	10.52010974	102.037346	5.45E-24	6.05E-22
fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21
fig|6666666.230262.peg.2080	1.169947957	7.820361402	100.4120293	1.24E-23	1.31E-21
fig|6666666.230262.peg.4092	0.942816711	8.435782146	99.37456477	2.09E-23	2.16E-21
fig|6666666.230262.peg.3364	1.043376455	10.89893561	96.59528679	8.51E-23	8.40E-21
fig|6666666.230262.peg.374	1.043664122	10.64315294	96.5889822	8.53E-23	8.40E-21
fig|6666666.230262.peg.1285	-0.959326919	10.20618543	95.37536719	1.58E-22	1.52E-20
fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20
fig|6666666.230262.peg.1058	-0.969541229	9.033456614	93.89976337	3.32E-22	3.06E-20
fig|6666666.230262.peg.1816	1.537719017	7.465855558	93.3645312	4.35E-22	3.93E-20
fig|6666666.230262.peg.3688	0.952108607	11.11912383	92.61242614	6.36E-22	5.62E-20
fig|6666666.230262.peg.3976	-0.989281494	11.15076541	91.34637919	1.21E-21	1.04E-19
fig|6666666.230262.peg.873	2.520896636	4.708384983	90.97025751	1.46E-21	1.24E-19
fig|6666666.230262.peg.1356	1.250005611	7.02531343	88.20662091	5.90E-21	4.91E-19
fig|6666666.230262.peg.3810	0.884059719	8.97840854	86.72567997	1.25E-20	1.02E-18
fig|6666666.230262.peg.1475	-1.344816188	7.780899733	85.50322733	2.31E-20	1.86E-18
fig|6666666.230262.peg.3362	-1.195440196	7.573487791	85.24875782	2.63E-20	2.07E-18
fig|6666666.230262.peg.3431	1.44232868	6.460981139	85.06749404	2.88E-20	2.23E-18
fig|6666666.230262.peg.2255	-0.990277317	9.845643843	84.38984625	4.06E-20	3.09E-18
fig|6666666.230262.peg.694	1.35330463	6.271598682	84.23739301	4.39E-20	3.28E-18
fig|6666666.230262.peg.1638	0.94620367	9.735081897	84.01861229	4.90E-20	3.60E-18
fig|6666666.230262.peg.2793	0.883788689	8.513610578	79.99336848	3.76E-19	2.71E-17
fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17
fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17
fig|6666666.230262.peg.1283	1.026390248	7.752580752	78.55970558	7.76E-19	5.34E-17
fig|6666666.230262.peg.254	-0.989174558	8.418976352	78.02949672	1.02E-18	6.87E-17
fig|6666666.230262.peg.1474	-1.93428652	6.671196039	76.67726567	2.01E-18	1.34E-16
fig|6666666.230262.peg.3124	-1.652378956	6.913608066	76.16585859	2.61E-18	1.71E-16
fig|6666666.230262.peg.4085	-1.136251514	7.79611655	75.66741627	3.36E-18	2.17E-16
fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16
fig|6666666.230262.peg.866	0.854405936	9.688579474	72.65836123	1.54E-17	9.68E-16
fig|6666666.230262.peg.296	1.450379595	5.749397341	72.58606842	1.60E-17	9.90E-16
