logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.4308	3.38976865270385	6.82586829165436	556.498468521527	4.85650802980719e-123	2.10383927851248e-119
fig|6666666.230262.peg.4208	2.268521898092	8.63881070123106	535.944788025825	1.43761112389402e-118	3.11386569435446e-115
fig|6666666.230262.peg.2557	1.95791862609492	11.310978968709	465.0068639294	3.91132469276619e-103	5.64795285635439e-100
fig|6666666.230262.peg.299	1.80399397877754	8.52358300580512	291.565944149837	2.26649295180992e-65	2.45461186681014e-62
fig|6666666.230262.peg.3316	1.50889882157652	10.2771314042808	269.861011200684	1.21674980108633e-60	1.0541920276612e-57
fig|6666666.230262.peg.2556	1.48066757579305	8.88403041754445	265.740188290809	9.62373286785376e-60	6.94833513059042e-57
fig|6666666.230262.peg.298	2.61930441273898	6.49078935675395	232.689645915805	1.54450796624012e-52	9.55829787107456e-50
fig|6666666.230262.peg.166	-3.67124011820046	7.12518602785001	215.380864122105	9.20412673032166e-49	4.98403462446918e-46
fig|6666666.230262.peg.836	1.64766075147645	7.17229727155898	200.496745633862	1.62716479055792e-45	7.83208652521879e-43
fig|6666666.230262.peg.1232	1.65736161127357	7.41839630762949	177.673810550998	1.56077299394867e-40	6.76126860978563e-38
fig|6666666.230262.peg.3429	1.73344519808722	6.87208474550682	167.863341984498	2.16695959659018e-38	8.53388088402604e-36
fig|6666666.230262.peg.593	1.8301193678534	6.9766926917698	167.337928371135	2.82238189644899e-38	1.01887986461809e-35
fig|6666666.230262.peg.4004	1.45399134426461	9.65903147285605	162.995076301998	2.50782327623184e-37	8.35683879433564e-35
fig|6666666.230262.peg.2852	1.34967273232491	8.81533964224125	162.824170865503	2.73296244271741e-37	8.45656664417987e-35
fig|6666666.230262.peg.3123	-1.67987655404373	8.13923499067382	161.129376843975	6.41059524403949e-37	1.85137990647861e-34
fig|6666666.230262.peg.3167	-2.17458463215444	6.69819198028987	159.673085969289	1.33375345418427e-36	3.61113747720392e-34
fig|6666666.230262.peg.555	1.52044453044777	6.94615300312634	154.112361674846	2.18863563581272e-35	5.57715857314159e-33
fig|6666666.230262.peg.1415	1.421304548265	6.9908869288956	151.025825923774	1.03453103959805e-34	2.48977136863265e-32
fig|6666666.230262.peg.609	1.34857327936737	9.0418795104873	148.700230502364	3.33477395720958e-34	7.60328462243784e-32
fig|6666666.230262.peg.1613	2.6877818196974	5.55996313091474	146.909604390547	8.21281796060038e-34	1.77889637026604e-31
fig|6666666.230262.peg.1783	1.46173313189003	7.47640236934615	142.339203449135	8.1980994729308e-33	1.69115080555887e-30
fig|6666666.230262.peg.3914	1.73333788855767	6.32351654148568	140.125260752616	2.49932191005757e-32	4.92139205198609e-30
fig|6666666.230262.peg.925	-1.73088106426068	7.83452936605521	138.448564877478	5.81419794038488e-32	1.09509154251075e-29
fig|6666666.230262.peg.4003	1.05823442295605	9.79083960062716	136.195173169991	1.80850981548934e-31	3.26436021695826e-29
fig|6666666.230262.peg.1712	1.22463525709661	7.77343475582668	135.220725273156	2.95431360304249e-31	5.11923461135203e-29
fig|6666666.230262.peg.2021	1.7057814903408	7.69781589856607	134.251636920065	4.81316693196639e-31	8.01947659587631e-29
fig|6666666.230262.peg.4207	1.27850556288777	8.03528807233778	133.982668747237	5.51144958709197e-31	8.84281467084534e-29
fig|6666666.230262.peg.295	1.52942023318316	7.28853055900561	133.821909189141	5.97628470996004e-31	9.24616620126675e-29
fig|6666666.230262.peg.3284	1.31705873030825	7.44215795654837	126.543923895116	2.33770018763952e-29	3.49204041822566e-27
fig|6666666.230262.peg.926	-1.24596635376892	9.2341584023065	124.481897664417	6.60792275243852e-29	9.54184045452122e-27
fig|6666666.230262.peg.800	-1.17639906524182	8.70081820479494	118.641452102597	1.25479099287114e-27	1.75346921971542e-25
fig|6666666.230262.peg.594	1.47793176909495	6.58373857304948	115.783798077454	5.30042499980632e-27	7.17545034348781e-25
fig|6666666.230262.peg.2913	1.27489508977344	7.42809421300952	115.513857757041	6.0733167561594e-27	7.97260854172198e-25
fig|6666666.230262.peg.1275	1.48780935518629	7.33722757397808	111.434020347173	4.75365397704889e-26	6.05671442016935e-24
fig|6666666.230262.peg.2729	1.10701016839546	7.79467295255693	110.793490349925	6.56669862611102e-26	8.12769669951798e-24
fig|6666666.230262.peg.1093	1.30455229168256	7.49479553780041	109.974179766462	9.92754609468585e-26	1.19461471339386e-23
fig|6666666.230262.peg.520	1.56133622317127	6.79313476949151	109.80482133126	1.08130063784738e-25	1.26599847652834e-23
fig|6666666.230262.peg.690	1.97812764275331	5.37422857975888	107.728183958278	3.08287285834979e-25	3.51447505851876e-23
fig|6666666.230262.peg.2182	-1.03412751875941	9.03383986741616	100.579295747782	1.13750593772305e-23	1.23191893055406e-21
fig|6666666.230262.peg.2080	1.16994795672322	7.82036140216435	100.412029259194	1.2377407602097e-23	1.30777877395815e-21
fig|6666666.230262.peg.3364	1.04337645513712	10.8989356075227	96.5952867920525	8.50505013389714e-23	8.40031494543633e-21
fig|6666666.230262.peg.374	1.04366412205317	10.6431529446289	96.5889821960108	8.53217584485685e-23	8.40031494543633e-21
fig|6666666.230262.peg.557	1.22976934524984	7.1170219144301	94.1943943777725	2.86009504668371e-22	2.69346342222474e-20
fig|6666666.230262.peg.1816	1.53771901682142	7.46585555783777	93.3645312037721	4.34976285433625e-22	3.92566097603846e-20
fig|6666666.230262.peg.873	2.52089663608973	4.70838498315814	90.970257507588	1.45848003122194e-21	1.23885009710852e-19
fig|6666666.230262.peg.1356	1.25000561101405	7.02531342997634	88.2066209070937	5.89622187944026e-21	4.91200638110292e-19
fig|6666666.230262.peg.1475	-1.34481618824783	7.78089973313996	85.5032273329795	2.31323745108947e-20	1.85573048854067e-18
fig|6666666.230262.peg.3362	-1.19544019602484	7.57348779127724	85.2487578169758	2.63093700221283e-20	2.07222165337927e-18
fig|6666666.230262.peg.3431	1.44232867967471	6.4609811391679	85.0674940441392	2.88352233281958e-20	2.23061049031686e-18
fig|6666666.230262.peg.694	1.35330462958415	6.27159868151755	84.2373930115956	4.38792562374471e-20	3.27732651759691e-18
fig|6666666.230262.peg.1818	1.14049590781038	7.58782501883185	78.9823337103356	6.26678307768241e-19	4.45044332664265e-17
fig|6666666.230262.peg.455	1.03207250606682	7.86214432228578	78.7055036760995	7.20944367358074e-19	5.03730806354061e-17
fig|6666666.230262.peg.1283	1.02639024825546	7.75258075211614	78.5597055806566	7.76165599796962e-19	5.33706250527054e-17
fig|6666666.230262.peg.1474	-1.93428651956191	6.67119603947554	76.6772656701095	2.01307483306926e-18	1.34163695028555e-16
