Sample	Total Number of PE reads 	Number of aligned reads				Number of million raw reads	Number of million aligned reads
P30 read1	4175209				P30	4.2	3.2
P30 read2	4242901				P31	3.1	2.4
P31 read1	3103314				P32	4.5	3.5
P31 read2	3154781				P33	2.8	2.2
P32 read1	4508204				P34	4.8	3.6
P32 read2	4537549				P35	6.7	5.1
P33 read1	2819949				P36	5.2	4
P33 read2	2834468						
P34 read1	4713410						
P34 read2	4789735						
P35 read1	6679151						
P35 read2	6745306						
P36 read1	5200330						
P36 read2	5225468						
						154932	309864
						114131	228262
						177884	355768
						101891	203782
						186244	372488
						247203	494406
						224584	449168
							
						3094753	
						2297460	
						3293862	
						2086017	
						3421158	
						4832513	
						3799115	
