Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.230262.peg.3415
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin operon repressor	fig|6666666.230262.peg.3699
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.230262.peg.408
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.230262.peg.2511
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.230262.peg.3699
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.230262.peg.3420
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.230262.peg.1806
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioH	fig|6666666.230262.peg.3421
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.230262.peg.3161
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthase (EC 2.8.1.6)	fig|6666666.230262.peg.3419
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioC	fig|6666666.230262.peg.3423
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.230262.peg.635
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.230262.peg.2239
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.230262.peg.3331
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.230262.peg.3601
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	fig|6666666.230262.peg.3776
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	ATPase component BioM of energizing module of biotin ECF transporter	fig|6666666.230262.peg.1729
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|6666666.230262.peg.3699
