Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism	which	Category	Subcategory	Subsystem	Role
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism	5down	Amino Acids and Derivatives	"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis"	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism	5down	Amino Acids and Derivatives	"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	Glutamate and Aspartate uptake in Bacteria	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism	5down	Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Cyanophycin Metabolism	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Transcriptional_regulator%2C_TetR_family	K19736		fig|6666666.230262.peg.1154	-1.317602145	7.661056089	71.70667764	2.50E-17	1.46E-15	Transcription Factors		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Iron_siderophore_sensor_protein			fig|6666666.230262.peg.1223	-1.459823854	3.502032634	6.854964808	0.00883953	0.036469374			5down	Iron acquisition and metabolism	Siderophores	Iron siderophore sensor & receptor system	Iron siderophore sensor protein
Name=FIG01112216:_hypothetical_protein			fig|6666666.230262.peg.1317	-1.431530401	4.378580315	11.19434632	0.000820469	0.005151121			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01113005:_hypothetical_protein			fig|6666666.230262.peg.1327	-1.364453064	6.116152022	43.83179473	3.58E-11	1.12E-09			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=COG2907:_Amine_oxidase%2C_flavin-containing	K06954		fig|6666666.230262.peg.1335	-2.331398259	2.757523763	8.117152061	0.004384839	0.020786838	Uncharacterized		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=1-phosphofructokinase_(EC_2.7.1.56)	K00882	Smlt2557	fig|6666666.230262.peg.1390	-1.027246697	6.31720015	28.60358299	8.88E-08	1.64E-06	Enzymes	Carbohydrate metabolism	5down	Carbohydrates	Monosaccharides	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)
Name=Similar_to_F420-dependent_glucose-6-phosphate_dehydrogenase%2C_Mext_1273_family			fig|6666666.230262.peg.1470	-2.173984606	3.801028733	12.32067549	0.000447969	0.00313			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Oxidoreductase			fig|6666666.230262.peg.1472	-1.669552873	4.236067401	13.42719371	0.000248003	0.001921911			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Macrolide_export_ATP-binding/permease_protein_MacB_(EC_3.6.3.-)	K05685	Smlt1538	fig|6666666.230262.peg.1474	-1.93428652	6.671196039	76.67726567	2.01E-18	1.34E-16	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)
Name=Macrolide-specific_efflux_protein_MacA	K13888		fig|6666666.230262.peg.1475	-1.344816188	7.780899733	85.50322733	2.31E-20	1.86E-18	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Macrolide-specific efflux protein MacA
Name=hypothetical_protein			fig|6666666.230262.peg.1476	-2.020620473	3.47256919	9.090592336	0.002569276	0.013393629			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Two-component_response_regulator	K18144	Smlt2200	fig|6666666.230262.peg.1477	-1.740538001	5.067375542	23.37066222	1.34E-06	1.91E-05	Two-component systemÂ 		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Signal_transduction_histidine_kinase	K18143	Smlt2199	fig|6666666.230262.peg.1478	-1.672567126	5.442982774	35.48428095	2.57E-09	6.40E-08	Two-component system		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Probable_transmembrane_protein			fig|6666666.230262.peg.1493	-1.000437642	4.485026915	7.038669283	0.007976828	0.033647145			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Branched-chain_amino_acid_transport_protein_AzlC			fig|6666666.230262.peg.1578	-1.859536964	3.340933916	7.89546619	0.004955886	0.02301061			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Arsenate_reductase_(EC_1.20.4.1)			fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149			5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)
