gene	logFC	logCPM	LR	PValue	FDR	Name
fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)
fig|6666666.230262.peg.1080	1.116967763	5.131138699	21.29275578	3.94E-06	4.99E-05	Name=Sugar_ABC_transporter%2C_sugar_permease_protein_1_USSDB1C
fig|6666666.230262.peg.1087	1.077548695	7.453110834	72.30368901	1.85E-17	1.13E-15	Name=hypothetical_protein
fig|6666666.230262.peg.1093	1.304552292	7.494795538	109.9741798	9.93E-26	1.19E-23	Name=hypothetical_protein
fig|6666666.230262.peg.1121	1.09208696	9.001586718	53.41414777	2.70E-13	1.06E-11	Name=hypothetical_protein
fig|6666666.230262.peg.1147	2.254360062	3.705842298	31.69672264	1.80E-08	3.85E-07	Name=Permeases_of_the_major_facilitator_superfamily
fig|6666666.230262.peg.1154	-1.317602145	7.661056089	71.70667764	2.50E-17	1.46E-15	Name=Transcriptional_regulator%2C_TetR_family
fig|6666666.230262.peg.1223	-1.459823854	3.502032634	6.854964808	0.00883953	0.036469374	Name=Iron_siderophore_sensor_protein
fig|6666666.230262.peg.1232	1.657361611	7.418396308	177.6738106	1.56E-40	6.76E-38	Name=FIG01111142:_hypothetical_protein
fig|6666666.230262.peg.1234	1.047051012	7.040339122	68.44566733	1.30E-16	6.98E-15	Name=choline/carnitine/betaine_transporter
fig|6666666.230262.peg.1275	1.487809355	7.337227574	111.4340203	4.75E-26	6.06E-24	Name=Homoserine_O-acetyltransferase_(EC_2.3.1.31)
fig|6666666.230262.peg.1283	1.026390248	7.752580752	78.55970558	7.76E-19	5.34E-17	Name=33_kDa_chaperonin_(Heat_shock_protein_33)_(HSP33)
fig|6666666.230262.peg.1304	1.051616107	11.4997727	61.07625649	5.49E-15	2.45E-13	Name=Translation_initiation_factor_1
fig|6666666.230262.peg.1317	-1.431530401	4.378580315	11.19434632	0.000820469	0.005151121	Name=FIG01112216:_hypothetical_protein
fig|6666666.230262.peg.1327	-1.364453064	6.116152022	43.83179473	3.58E-11	1.12E-09	Name=FIG01113005:_hypothetical_protein
fig|6666666.230262.peg.1335	-2.331398259	2.757523763	8.117152061	0.004384839	0.020786838	Name=COG2907:_Amine_oxidase%2C_flavin-containing
fig|6666666.230262.peg.1344	1.130425309	5.848513213	39.22826093	3.77E-10	1.03E-08	Name=FIG01112660:_hypothetical_protein
fig|6666666.230262.peg.1349	1.098653695	7.009211874	25.51325094	4.39E-07	7.02E-06	Name=hypothetical_protein
fig|6666666.230262.peg.1356	1.250005611	7.02531343	88.20662091	5.90E-21	4.91E-19	Name=Transcriptional_regulator%2C_TetR_family
fig|6666666.230262.peg.1390	-1.027246697	6.31720015	28.60358299	8.88E-08	1.64E-06	Name=1-phosphofructokinase_(EC_2.7.1.56)
fig|6666666.230262.peg.1414	1.497336448	5.927208808	69.97355411	6.01E-17	3.34E-15	Name=FMN_reductase_(EC_1.5.1.29)
fig|6666666.230262.peg.1415	1.421304548	6.990886929	151.0258259	1.03E-34	2.49E-32	Name=FIG01110976:_hypothetical_protein
fig|6666666.230262.peg.1470	-2.173984606	3.801028733	12.32067549	0.000447969	0.00313	Name=Similar_to_F420-dependent_glucose-6-phosphate_dehydrogenase%2C_Mext_1273_family
fig|6666666.230262.peg.1472	-1.669552873	4.236067401	13.42719371	0.000248003	0.001921911	Name=Oxidoreductase
fig|6666666.230262.peg.1474	-1.93428652	6.671196039	76.67726567	2.01E-18	1.34E-16	Name=Macrolide_export_ATP-binding/permease_protein_MacB_(EC_3.6.3.-)
fig|6666666.230262.peg.1475	-1.344816188	7.780899733	85.50322733	2.31E-20	1.86E-18	Name=Macrolide-specific_efflux_protein_MacA
fig|6666666.230262.peg.1476	-2.020620473	3.47256919	9.090592336	0.002569276	0.013393629	Name=hypothetical_protein
fig|6666666.230262.peg.1477	-1.740538001	5.067375542	23.37066222	1.34E-06	1.91E-05	Name=Two-component_response_regulator
fig|6666666.230262.peg.1478	-1.672567126	5.442982774	35.48428095	2.57E-09	6.40E-08	Name=Signal_transduction_histidine_kinase
fig|6666666.230262.peg.1493	-1.000437642	4.485026915	7.038669283	0.007976828	0.033647145	Name=Probable_transmembrane_protein
fig|6666666.230262.peg.1564	1.18388696	3.632525661	10.38098517	0.001273197	0.007463452	Name=hypothetical_protein
fig|6666666.230262.peg.1575	-4.881453293	1.810175342	7.618595825	0.005776945	0.025940441	Name=probable_sigma-70_factor%2C_ECF_subfamily
fig|6666666.230262.peg.1578	-1.859536964	3.340933916	7.89546619	0.004955886	0.02301061	Name=Branched-chain_amino_acid_transport_protein_AzlC
fig|6666666.230262.peg.1607	1.829543122	2.705454618	7.604019798	0.005823832	0.026089802	Name=FIG01111999:_hypothetical_protein
fig|6666666.230262.peg.1613	2.68778182	5.559963131	146.9096044	8.21E-34	1.78E-31	Name=Diacylglycerol_kinase_(EC_2.7.1.107)
fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149	Name=Arsenate_reductase_(EC_1.20.4.1)
fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11	Name=Lactoylglutathione_lyase_(EC_4.4.1.5)
fig|6666666.230262.peg.166	-3.671240118	7.125186028	215.3808641	9.20E-49	4.98E-46	Name=Transcriptional_regulator%2C_ArsR_family
fig|6666666.230262.peg.1660	1.260808378	5.658374081	53.29603255	2.87E-13	1.12E-11	Name=Biphenyl-2%2C3-diol_1%2C2-dioxygenase_III_(EC_1.13.11.39)
fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15	Name=LSU_ribosomal_protein_L20p
fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)
fig|6666666.230262.peg.1760	-1.039391253	4.205534465	6.331907016	0.011858474	0.045785123	Name=Autolysin_sensor_kinase_(EC_2.7.3.-)
fig|6666666.230262.peg.1783	1.461733132	7.476402369	142.3392034	8.20E-33	1.69E-30	Name=FIG01110964:_hypothetical_protein
fig|6666666.230262.peg.1816	1.537719017	7.465855558	93.3645312	4.35E-22	3.93E-20	Name=FIG01111997:_hypothetical_protein
fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17	Name=Outer_membrane_receptor_proteins%2C_mostly_Fe_transport
fig|6666666.230262.peg.1822	1.17474707	3.854907589	11.49011116	0.000699675	0.004510402	Name=hypothetical_protein
fig|6666666.230262.peg.1849	1.05877455	5.535051472	29.07861268	6.95E-08	1.30E-06	Name=FIG01113101:_hypothetical_protein
fig|6666666.230262.peg.1876	-1.252969935	6.180118579	32.5978759	1.13E-08	2.51E-07	Name=FIG01111381:_hypothetical_protein
fig|6666666.230262.peg.190	-1.212158444	4.083362176	9.964797751	0.001595617	0.008953644	Name=Biopolymer_transport_protein_ExbD/TolR
fig|6666666.230262.peg.1915	-1.634057441	6.872885424	66.81341324	2.98E-16	1.50E-14	Name=Arsenical_resistance_operon_repressor
fig|6666666.230262.peg.1941	-1.017991778	5.431293686	17.27606808	3.23E-05	0.000315238	Name=Flagellar_biosynthesis_protein_FliC
fig|6666666.230262.peg.1966	-1.065207756	5.177446945	14.56384655	0.000135489	0.001146366	Name=Flagellar_biosynthesis_protein_FliR
