fig|6666666.230262.peg.1	Name=GCN5-related_N-acetyltransferase
fig|6666666.230262.peg.2	Name=Carboxypeptidase_C_(cathepsin_A)
fig|6666666.230262.peg.3	Name=Probable_low-affinity_inorganic_phosphate_transporter
fig|6666666.230262.peg.4	Name=FIG01112673:_hypothetical_protein
fig|6666666.230262.peg.5	Name=Magnesium_and_cobalt_efflux_protein_CorC
fig|6666666.230262.peg.6	Name=ExoD_protein
fig|6666666.230262.peg.7	Name=Pyridoxamine_5'-phosphate_oxidase_(EC_1.4.3.5)
fig|6666666.230262.peg.8	Name=Luciferase-like
fig|6666666.230262.peg.9	Name=Rhodanese_domain_protein_UPF0176%2C_Betaproteobacterial_subgroup
fig|6666666.230262.peg.10	Name=FIG01112056:_hypothetical_protein
fig|6666666.230262.peg.11	Name=FKBP-type_peptidyl-prolyl_cis-trans_isomerase
fig|6666666.230262.peg.12	Name=NAD(FAD)-utilizing_dehydrogenases
fig|6666666.230262.peg.13	Name=Protein_export_cytoplasm_protein_SecA_ATPase_RNA_helicase_(TC_3.A.5.1.1)
fig|6666666.230262.peg.14	Name=Glutamate_synthase_[NADPH]_large_chain_(EC_1.4.1.13)
fig|6666666.230262.peg.15	Name=Polysaccharide_biosynthetic_protein
fig|6666666.230262.peg.16	Name=BLUF_domain_containing_protein
fig|6666666.230262.peg.17	Name=Putative_phage_protein
fig|6666666.230262.peg.18	Name=Phage_protein
fig|6666666.230262.peg.19	Name=hypothetical_protein
fig|6666666.230262.peg.20	Name=hypothetical_protein
fig|6666666.230262.peg.21	Name=hypothetical_protein
fig|6666666.230262.peg.22	Name=Phage_tail_fiber_protein
fig|6666666.230262.peg.23	Name=phage_tape_measure_protein
fig|6666666.230262.peg.24	Name=hypothetical_protein
fig|6666666.230262.peg.25	Name=hypothetical_protein
fig|6666666.230262.peg.26	Name=hypothetical_protein
fig|6666666.230262.peg.27	Name=hypothetical_protein
fig|6666666.230262.peg.28	Name=hypothetical_protein
fig|6666666.230262.peg.29	Name=phage_protein%2C_HK97_gp10_family
fig|6666666.230262.peg.30	Name=hypothetical_protein
fig|6666666.230262.peg.31	Name=hypothetical_protein
fig|6666666.230262.peg.32	Name=hypothetical_protein
fig|6666666.230262.peg.33	Name=Phage_major_capsid_protein
fig|6666666.230262.peg.34	Name=Prophage_Clp_protease-like_protein
fig|6666666.230262.peg.35	Name=Phage_portal_protein
