Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism					
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis"	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	Glutamate and Aspartate uptake in Bacteria	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)	K01953	Smlt1520	fig|6666666.230262.peg.1035	-1.279410635	5.699336958	27.09556412	1.94E-07	3.30E-06	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Cyanophycin Metabolism	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
Name=Transcriptional_regulator%2C_TetR_family	K19736		fig|6666666.230262.peg.1154	-1.317602145	7.661056089	71.70667764	2.50E-17	1.46E-15	Transcription Factors						
Name=Iron_siderophore_sensor_protein			fig|6666666.230262.peg.1223	-1.459823854	3.502032634	6.854964808	0.00883953	0.036469374				Iron acquisition and metabolism	Siderophores	Iron siderophore sensor & receptor system	Iron siderophore sensor protein
Name=FIG01112216:_hypothetical_protein			fig|6666666.230262.peg.1317	-1.431530401	4.378580315	11.19434632	0.000820469	0.005151121							
Name=FIG01113005:_hypothetical_protein			fig|6666666.230262.peg.1327	-1.364453064	6.116152022	43.83179473	3.58E-11	1.12E-09							
Name=COG2907:_Amine_oxidase%2C_flavin-containing	K06954		fig|6666666.230262.peg.1335	-2.331398259	2.757523763	8.117152061	0.004384839	0.020786838	Uncharacterized						
Name=1-phosphofructokinase_(EC_2.7.1.56)	K00882	Smlt2557	fig|6666666.230262.peg.1390	-1.027246697	6.31720015	28.60358299	8.88E-08	1.64E-06	Enzymes	Carbohydrate metabolism		Carbohydrates	Monosaccharides	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)
Name=Similar_to_F420-dependent_glucose-6-phosphate_dehydrogenase%2C_Mext_1273_family			fig|6666666.230262.peg.1470	-2.173984606	3.801028733	12.32067549	0.000447969	0.00313							
Name=Oxidoreductase			fig|6666666.230262.peg.1472	-1.669552873	4.236067401	13.42719371	0.000248003	0.001921911							
Name=Macrolide_export_ATP-binding/permease_protein_MacB_(EC_3.6.3.-)	K05685	Smlt1538	fig|6666666.230262.peg.1474	-1.93428652	6.671196039	76.67726567	2.01E-18	1.34E-16	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)
Name=Macrolide-specific_efflux_protein_MacA	K13888		fig|6666666.230262.peg.1475	-1.344816188	7.780899733	85.50322733	2.31E-20	1.86E-18	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Macrolide-specific efflux protein MacA
Name=hypothetical_protein			fig|6666666.230262.peg.1476	-2.020620473	3.47256919	9.090592336	0.002569276	0.013393629							
Name=Two-component_response_regulator	K18144	Smlt2200	fig|6666666.230262.peg.1477	-1.740538001	5.067375542	23.37066222	1.34E-06	1.91E-05	Two-component system 						
Name=Signal_transduction_histidine_kinase	K18143	Smlt2199	fig|6666666.230262.peg.1478	-1.672567126	5.442982774	35.48428095	2.57E-09	6.40E-08	Two-component system						
Name=Probable_transmembrane_protein			fig|6666666.230262.peg.1493	-1.000437642	4.485026915	7.038669283	0.007976828	0.033647145							
Name=Branched-chain_amino_acid_transport_protein_AzlC			fig|6666666.230262.peg.1578	-1.859536964	3.340933916	7.89546619	0.004955886	0.02301061							
Name=Arsenate_reductase_(EC_1.20.4.1)			fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149				"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)
Name=Arsenate_reductase_(EC_1.20.4.1)			fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149				Respiration	Electron accepting reactions	Anaerobic respiratory reductases	Arsenate reductase (EC 1.20.4.1)
Name=Lactoylglutathione_lyase_(EC_4.4.1.5)			fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11				Stress Response	Oxidative stress	Glutathione: Non-redox reactions	Lactoylglutathione lyase (EC 4.4.1.5)
Name=Lactoylglutathione_lyase_(EC_4.4.1.5)			fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11				Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Lactoylglutathione lyase (EC 4.4.1.5)
Name=Transcriptional_regulator%2C_ArsR_family			fig|6666666.230262.peg.166	-3.671240118	7.125186028	215.3808641	9.20E-49	4.98E-46							
Name=Autolysin_sensor_kinase_(EC_2.7.3.-)			fig|6666666.230262.peg.1760	-1.039391253	4.205534465	6.331907016	0.011858474	0.045785123							
Name=FIG01111381:_hypothetical_protein			fig|6666666.230262.peg.1876	-1.252969935	6.180118579	32.5978759	1.13E-08	2.51E-07							
Name=Biopolymer_transport_protein_ExbD/TolR	K03559		fig|6666666.230262.peg.190	-1.212158444	4.083362176	9.964797751	0.001595617	0.008953644	Transporters			Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Biopolymer transport protein ExbD/TolR
Name=Arsenical_resistance_operon_repressor			fig|6666666.230262.peg.1915	-1.634057441	6.872885424	66.81341324	2.98E-16	1.50E-14				"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical resistance operon repressor
Name=Flagellar_biosynthesis_protein_FliC	K02406	Smlt2306	fig|6666666.230262.peg.1941	-1.017991778	5.431293686	17.27606808	3.23E-05	0.000315238	Bacterial motility proteins 			Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	Flagellar biosynthesis protein FliC
Name=Flagellar_biosynthesis_protein_FliR	K02421	Smlt2277	fig|6666666.230262.peg.1966	-1.065207756	5.177446945	14.56384655	0.000135489	0.001146366	Bacterial motility proteins 			Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	Flagellar biosynthesis protein FliR
Name=Flagellar_biosynthesis_protein_FliR	K02421	Smlt2277	fig|6666666.230262.peg.1966	-1.065207756	5.177446945	14.56384655	0.000135489	0.001146366	Bacterial motility proteins 			Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellar motility	Flagellar biosynthesis protein FliR
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteins 			RNA Metabolism	Transcription	"Transcription initiation, bacterial sigma factors"	RNA polymerase sigma factor for flagellar operon
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteins 			Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	RNA polymerase sigma factor for flagellar operon
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteins 			Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellar motility	RNA polymerase sigma factor for flagellar operon
Name=Glutamate_5-kinase_(EC_2.7.2.11)_/_RNA-binding_C-terminal_domain_PUA	K00931	Smlt3294	fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline Synthesis	RNA-binding C-terminal domain PUA
Name=Glutamate_5-kinase_(EC_2.7.2.11)_/_RNA-binding_C-terminal_domain_PUA	K00931	Smlt3294	fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline Synthesis	Glutamate 5-kinase (EC 2.7.2.11)
Name=FIG01111989:_hypothetical_protein	K07301		fig|6666666.230262.peg.2178	-1.229607973	5.031861435	13.92497177	0.000190254	0.001517827	Transporters						
Name=FIG01111325:_hypothetical_protein			fig|6666666.230262.peg.2180	-1.734946316	4.84598314	27.42838823	1.63E-07	2.81E-06							
Name=Homogentisate_1%2C2-dioxygenase_(EC_1.13.11.5)	K00451	Smlt4329	fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14	Enzymes	"Amino acid metabolism, Xenobiotics biodegradation and metabolism"		"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Pterin carbinolamine dehydratase	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
Name=Homogentisate_1%2C2-dioxygenase_(EC_1.13.11.5)	K00451	Smlt4329	fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14	Enzymes	"Amino acid metabolism, Xenobiotics biodegradation and metabolism"		Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Homogentisate pathway of aromatic compound degradation	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"		"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Pterin carbinolamine dehydratase	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
