Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism					
Name=Sugar_ABC_transporter%2C_sugar_permease_protein_1_USSDB1C	K02025		fig|6666666.230262.peg.1080	1.116967763	5.131138699	21.29275578	3.94E-06	4.99E-05	Transporters						
Name=hypothetical_protein			fig|6666666.230262.peg.1087	1.077548695	7.453110834	72.30368901	1.85E-17	1.13E-15							
Name=hypothetical_protein			fig|6666666.230262.peg.1093	1.304552292	7.494795538	109.9741798	9.93E-26	1.19E-23							
Name=hypothetical_protein			fig|6666666.230262.peg.1121	1.09208696	9.001586718	53.41414777	2.70E-13	1.06E-11							
Name=Permeases_of_the_major_facilitator_superfamily			fig|6666666.230262.peg.1147	2.254360062	3.705842298	31.69672264	1.80E-08	3.85E-07							
Name=FIG01111142:_hypothetical_protein			fig|6666666.230262.peg.1232	1.657361611	7.418396308	177.6738106	1.56E-40	6.76E-38							
Name=choline/carnitine/betaine_transporter	K05020		fig|6666666.230262.peg.1234	1.047051012	7.040339122	68.44566733	1.30E-16	6.98E-15	Transporters						
Name=Homoserine_O-acetyltransferase_(EC_2.3.1.31)	K00641	Smlt3277	fig|6666666.230262.peg.1275	1.487809355	7.337227574	111.4340203	4.75E-26	6.06E-24	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Methionine Biosynthesis	Homoserine O-acetyltransferase (EC 2.3.1.31)
Name=33_kDa_chaperonin_(Heat_shock_protein_33)_(HSP33)	K04083		fig|6666666.230262.peg.1283	1.026390248	7.752580752	78.55970558	7.76E-19	5.34E-17	Chaperones and folding catalysts 						
Name=Translation_initiation_factor_1	K02518		fig|6666666.230262.peg.1304	1.051616107	11.4997727	61.07625649	5.49E-15	2.45E-13	Translation factors			Protein Metabolism	Protein biosynthesis	Translation initiation factors bacterial	Translation initiation factor 1
Name=FIG01112660:_hypothetical_protein			fig|6666666.230262.peg.1344	1.130425309	5.848513213	39.22826093	3.77E-10	1.03E-08							
Name=hypothetical_protein			fig|6666666.230262.peg.1349	1.098653695	7.009211874	25.51325094	4.39E-07	7.02E-06							
Name=Transcriptional_regulator%2C_TetR_family			fig|6666666.230262.peg.1356	1.250005611	7.02531343	88.20662091	5.90E-21	4.91E-19							
Name=FMN_reductase_(EC_1.5.1.29)	K00299	Smlt2584	fig|6666666.230262.peg.1414	1.497336448	5.927208808	69.97355411	6.01E-17	3.34E-15	Enzymes	"Energy Metabolism, Metabolism of cofactors and vitamins"		Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonates Utilization	FMN reductase (EC 1.5.1.29)
Name=FIG01110976:_hypothetical_protein			fig|6666666.230262.peg.1415	1.421304548	6.990886929	151.0258259	1.03E-34	2.49E-32							
Name=hypothetical_protein			fig|6666666.230262.peg.1564	1.18388696	3.632525661	10.38098517	0.001273197	0.007463452							
Name=FIG01111999:_hypothetical_protein			fig|6666666.230262.peg.1607	1.829543122	2.705454618	7.604019798	0.005823832	0.026089802							
Name=Diacylglycerol_kinase_(EC_2.7.1.107)	K00901	Smlt2803	fig|6666666.230262.peg.1613	2.68778182	5.559963131	146.9096044	8.21E-34	1.78E-31	Enzymes	Lipid Metabolism		"Fatty Acids, Lipids, and Isoprenoids"	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Diacylglycerol kinase (EC 2.7.1.107)
Name=Biphenyl-2%2C3-diol_1%2C2-dioxygenase_III_(EC_1.13.11.39)			fig|6666666.230262.peg.1660	1.260808378	5.658374081	53.29603255	2.87E-13	1.12E-11							
Name=LSU_ribosomal_protein_L20p	K02887	Smlt3375	fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15	Ribosome			"Virulence, Disease and Defense"	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	LSU ribosomal protein L20p
Name=LSU_ribosomal_protein_L20p	K02887	Smlt3375	fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15	Ribosome			Protein Metabolism	Protein biosynthesis	Ribosome LSU bacterial	LSU ribosomal protein L20p
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism		Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	Aromatic amino acids and derivatives	"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more."	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=FIG01110964:_hypothetical_protein			fig|6666666.230262.peg.1783	1.461733132	7.476402369	142.3392034	8.20E-33	1.69E-30							
Name=FIG01111997:_hypothetical_protein			fig|6666666.230262.peg.1816	1.537719017	7.465855558	93.3645312	4.35E-22	3.93E-20							
Name=Outer_membrane_receptor_proteins%2C_mostly_Fe_transport	K02014		fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17	Transporters			Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	"Heme, hemin uptake and utilization systems in GramNegatives"	"Outer membrane receptor proteins, mostly Fe transport"
Name=Outer_membrane_receptor_proteins%2C_mostly_Fe_transport	K02014		fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17	Transporters			Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	"Outer membrane receptor proteins, mostly Fe transport"
Name=hypothetical_protein			fig|6666666.230262.peg.1822	1.17474707	3.854907589	11.49011116	0.000699675	0.004510402							
Name=FIG01113101:_hypothetical_protein			fig|6666666.230262.peg.1849	1.05877455	5.535051472	29.07861268	6.95E-08	1.30E-06							
Name=hypothetical_protein			fig|6666666.230262.peg.2005	1.790961192	3.128550376	14.31777417	0.0001544	0.001276779							
Name=FIG01111915:_hypothetical_protein			fig|6666666.230262.peg.2021	1.70578149	7.697815899	134.2516369	4.81E-31	8.02E-29							
Name=FIG01112383:_hypothetical_protein			fig|6666666.230262.peg.2080	1.169947957	7.820361402	100.4120293	1.24E-23	1.31E-21							
